TYPE,NO,NAME,
水泥,1101,台泥,
水泥,1109,信大,
水泥,1102,亞泥,
水泥,1110,東泥,
水泥,1103,嘉泥,
水泥,1104,環泥,
水泥,1107,建台,
食品,1201,味全,
食品,1212,中日,
食品,1218,泰山,
食品,1225,福懋油脂,
食品,1232,大統益,
食品,1203,味王,
食品,1213,大飲,
食品,1219,福壽,
食品,1227,佳格,
食品,1233,天仁,
食品,1204,津津,
食品,1215,卜蜂,
食品,1220,台榮,
食品,1228,台芳,
食品,1234,黑松,
食品,1207,嘉食化,
食品,1216,統一,
食品,1221,久津,
食品,1229,聯華,
食品,1235,興泰,
食品,1210,大成,
食品,1217,愛之味,
食品,1224,惠勝,
食品,1231,聯華食品,
食品,1236,宏亞,
塑膠,1301,台塑,
塑膠,1307,三芳,
塑膠,1312,國喬,
塑膠,1319,東陽,
塑膠,1326,台化,
塑膠,1303,南亞,
塑膠,1308,亞聚,
塑膠,1313,聯成,
塑膠,1321,大洋,
塑膠,1304,台聚,
塑膠,1309,台達,
塑膠,1314,中石化,
塑膠,1323,永裕,
塑膠,1305,華夏,
塑膠,1310,台苯,
塑膠,1315,達新,
塑膠,1324,地球,
塑膠,1306,合發,
塑膠,1311,福聚,
塑膠,1316,上曜,
塑膠,1325,恆大,
紡織纖維,1402,遠紡,
紡織纖維,1413,宏洲,
紡織纖維,1419,新紡,
紡織纖維,1436,福益,
紡織纖維,1441,大東,
紡織纖維,1446,宏和,
紡織纖維,1452,宏益,
紡織纖維,1457,宜進,
紡織纖維,1463,強盛,
紡織纖維,1468,昶和,
紡織纖維,1473,台南,
紡織纖維,1407,華隆,
紡織纖維,1414,東和,
紡織纖維,1423,利華,
紡織纖維,1437,勤益,
紡織纖維,1442,名軒,
紡織纖維,1447,力鵬,
紡織纖維,1453,大將,
紡織纖維,1458,嘉畜,
紡織纖維,1464,得力,
紡織纖維,1469,理隆,
紡織纖維,1474,弘裕,
紡織纖維,1408,中紡,
紡織纖維,1416,廣豐,
紡織纖維,1432,大魯閣,
紡織纖維,1438,裕豐,
紡織纖維,1443,立益,
紡織纖維,1449,佳和,
紡織纖維,1454,台富,
紡織纖維,1459,聯發,
紡織纖維,1465,偉全,
紡織纖維,1470,大統,
紡織纖維,1475,本盟,
紡織纖維,1409,新纖,
紡織纖維,1417,嘉裕,
紡織纖維,1434,福懋,
紡織纖維,1439,中和,
紡織纖維,1444,力麗,
紡織纖維,1450,新藝,
紡織纖維,1455,集盛,
紡織纖維,1460,宏遠,
紡織纖維,1466,聚隆,
紡織纖維,1471,首利,
紡織纖維,1476,儒鴻,
紡織纖維,1410,南染,
紡織纖維,1418,東華,
紡織纖維,1435,中福,
紡織纖維,1440,南紡,
紡織纖維,1445,大宇,
紡織纖維,1451,年興,
紡織纖維,1456,怡華,
紡織纖維,1462,東雲,
紡織纖維,1467,南緯,
紡織纖維,1472,三洋纖,
紡織纖維,1477,聚陽,
電機,1503,士電,
電機,1512,瑞利,
電機,1517,利奇,
電機,1523,開億,
電機,1528,恩德,
電機,1533,車王電,
電機,1538,正峰工,
電機,1504,東元,
電機,1513,中興電工,
電機,1519,華城,
電機,1524,耿鼎,
電機,1529,樂士,
電機,1534,新企,
電機,1539,巨庭,
電機,1506,正道,
電機,1514,亞力,
電機,1520,復盛,
電機,1525,江申,
電機,1530,亞崴,
電機,1535,中宇,
電機,1540,喬福,
電機,1507,永大,
電機,1515,力山,
電機,1521,大億,
電機,1526,日馳,
電機,1531,高林股,
電機,1536,和大,
電機,1541,錩泰,
電機,1510,台安,
電機,1516,川飛,
電機,1522,堤維西,
電機,1527,鑽全,
電機,1532,勤美,
電機,1537,廣隆,
電器電纜,1601,台光,
電器電纜,1606,歌林,
電器電纜,1613,台一,
電器電纜,1618,合機,
電器電纜,1602,太電,
電器電纜,1608,華榮,
電器電纜,1614,三洋,
電器電纜,1603,華電,
電器電纜,1609,大亞,
電器電纜,1615,大山,
電器電纜,1604,聲寶,
電器電纜,1611,中電,
電器電纜,1616,億泰,
電器電纜,1605,華新,
電器電纜,1612,宏泰,
電器電纜,1617,榮星,
化學,1701,中化,
化學,1709,和益,
化學,1714,和桐,
化學,1720,生達,
化學,1725,元禎,
化學,1731,美吾華,
化學,1736,喬山,
化學,1702,南僑,
化學,1710,東聯,
化學,1715,亞化,
化學,1721,三晃,
化學,1726,永記,
化學,1732,毛寶,
化學,1704,榮化,
化學,1711,永光,
化學,1716,永信,
化學,1722,台肥,
化學,1727,中華化,
化學,1733,五鼎,
化學,1707,葡萄王,
化學,1712,興農,
化學,1717,長興,
化學,1723,中鋼碳素,
化學,1729,必翔,
化學,1734,杏輝,
化學,1708,東鹼,
化學,1713,國化,
化學,1718,中纖,
化學,1724,台硝,
化學,1730,花仙子,
