season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possesion,a_possesion,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
13-14,1,Bayern München ,Bor. Mönchengladbach ,3,1,2,1,26,11,"118,81 km","118,53 km",635,436,585,359,50,77,92%,82%,59%,41%,53%,47%,12,11,9,11,3,3,6,4
13-14,1,TSG Hoffenheim ,1. FC Nürnberg ,2,2,1,0,23,12,"116,01 km","113,39 km",409,352,315,259,94,93,77%,74%,53%,47%,49%,51%,17,16,16,17,5,4,6,9
13-14,1,Bayer 04 Leverkusen ,SC Freiburg ,3,1,1,1,18,8,"113,9 km","118,93 km",405,481,319,392,86,89,79%,81%,46%,54%,61%,39%,10,15,15,10,2,3,5,2
13-14,1,Hannover 96 ,VfL Wolfsburg ,2,0,1,0,20,15,"108,94 km","103,15 km",409,403,351,323,58,80,86%,80%,50%,50%,44%,56%,28,11,11,27,1,4,7,2
13-14,1,FC Augsburg ,Borussia Dortmund ,0,4,0,1,11,13,"110,61 km","112,78 km",402,516,290,424,112,92,72%,82%,45%,55%,48%,52%,18,12,12,18,0,3,5,6
13-14,1,Hertha BSC ,Eintracht Frankfurt ,6,1,2,1,16,11,"112,32 km","107,03 km",330,491,266,406,64,85,81%,83%,40%,60%,44%,56%,19,18,18,17,3,2,5,4
13-14,1,Eintracht Braunschweig ,Werder Bremen ,0,1,0,0,13,12,"115,32 km","114,69 km",395,458,296,356,99,102,75%,78%,46%,54%,50%,50%,11,17,17,10,4,1,2,7
13-14,1,1. FSV Mainz 05 ,VfB Stuttgart ,3,2,1,1,10,18,"119,61 km","117,72 km",442,473,358,378,84,95,81%,80%,48%,52%,48%,52%,15,13,13,14,7,1,2,8
13-14,1,FC Schalke 04 ,Hamburger SV ,3,3,2,2,19,16,"114,6 km","119,07 km",532,389,433,295,99,94,81%,76%,58%,42%,49%,51%,15,11,10,12,0,4,3,7
13-14,2,VfB Stuttgart ,Bayer 04 Leverkusen ,0,1,0,1,18,13,"119,09 km","121,79 km",462,357,385,274,77,83,83%,77%,57%,43%,52%,48%,13,15,15,13,3,1,10,3
13-14,2,VfL Wolfsburg ,FC Schalke 04 ,4,0,0,0,23,6,"114,89 km","113,25 km",426,408,358,330,68,78,84%,81%,52%,48%,53%,47%,18,16,16,18,3,2,11,3
13-14,2,Werder Bremen ,FC Augsburg ,1,0,1,0,5,20,"117,12 km","115,79 km",295,445,211,360,84,85,72%,81%,40%,60%,51%,49%,17,15,15,16,4,5,3,7
13-14,2,SC Freiburg ,1. FSV Mainz 05 ,1,2,0,0,9,13,"117,48 km","113,79 km",556,388,458,310,98,78,82%,80%,58%,42%,52%,48%,17,7,7,16,1,4,2,4
13-14,2,Hamburger SV ,TSG Hoffenheim ,1,5,1,1,8,18,"110,45 km","117,42 km",486,346,394,268,92,78,81%,77%,58%,42%,61%,39%,15,22,21,14,1,1,2,4
13-14,2,Eintracht Frankfurt ,Bayern München ,0,1,0,1,9,17,"114,49 km","114,95 km",285,725,209,661,76,64,73%,91%,30%,70%,52%,48%,9,17,17,9,7,1,6,5
